,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOF Name,Ref Code,Application,Recommendation,Justification,Source,Original Application Name
13392,353,353.0,353,[Zn(atpt)(H2O)2]<|>compound 2,SIWVEA,Optical Devices,Recommended,"""These complexes exhibit blue photoluminescence at room temperature."" ""The fact that their blue fluorescent emission of λ em =433nm and λ em =431nm shows they may be promising as optoelectronic devices.""",10.1016/j.ica.2007.06.039,Optoelectronic devices
13406,367,367.0,367,"Ln(H2L)(H3L) (Ln=Sm, 4)<|>compound 4",EGOXAA,Photoluminescence,Investigated,Lanthanide phosphonates are important since they can exhibit intense luminescence that has found applications in fluorescent probes and electroluminescent devices.,10.1016/j.jssc.2008.06.043,Luminescence
13415,376,376.0,376,[Cd(Hbidc)]n<|>compound 2,LAVFOF,Photoluminescence,Investigated,"In summary, we have reported two new 2D MOFs based on the 1H-benzimidazole-5,6-dicarboxylic acid ligand. The crystal structure of 1 possesses a 2D [Pb(CO)2]n layer, which is connected by Hbidc to generate a uninodal 5-connected SnS net. Compound 2 is also a 2D framework constructed from Cd–O–C rod-shaped building blocks. Both the compounds can be utilized as luminescent materiel with highly thermal stability.",10.1016/j.ica.2011.11.044,Luminescent material
13416,377,377.0,377,PhytoMOF-1,VOYBOC,Hydrogen Storage,Recommended,"""Molecular simulations show that PhytoMOF-1 might store hydrogen."" ""Results of molecular simulations show that PhytoMOF-1 has a similar H2 storage potential as COF-5, COF-8, COF-10, MIL-100(Cr) and MIL-53(Cr). According to these results, using a phytochemical can be a good way to obtain biomimetic materials with fascinating properties.""",10.1016/j.ica.2014.12.010,Hydrogen storage
13417,378,378.0,378,PhytoMOF-1,VOYBOC,Sensors,Investigated,"""The luminescent properties of PhytoMOF-1 are quenched upon the adsorption of toluene and nitrobenzene."" ""In order to determine if the PhytoMOF-1 could be used for sensing applications, fluorescence properties were tested.""",10.1016/j.ica.2014.12.010,Luminescence-based sensing
13419,380,380.0,380,Zn2(ATRZ)2SO4·3H2O<|>compound 1,GOXYAV,Photoluminescence,Investigated,Compound 1 exhibits characteristic ligand-centered fluorescence property.,10.1016/j.molstruc.2014.11.050,Luminescence
13421,382,382.0,382,[Zn(1-tza)(Cl)(H2O)]<|>compound 1,QIXWAX,Optical Devices,Recommended,"Compound 1 displays nonlinear optical effect. Moreover, compound 1 exhibits a second-order nonlinear optical coefficient equal to that of potassium dihydrogen phosphate (KDP).",10.1016/j.molstruc.2013.12.053,Nonlinear optical materials
13432,393,393.0,393,"[Cu(3-dpye)(1,3-BDC)(H2O)]·H2O<|>complex 3",HEFNUD,Photoluminescence,Investigated,"Moreover, all the Cu(II) polymers exhibit intense fluorescence emissions, which appear to be potential luminescent materials.",10.1016/j.jorganchem.2012.08.008,Luminescent materials
13438,399,399.0,399,[Nd(pic)3]<|>complex 1,OFOJAV,Magnetic Material,Investigated,Complex 1 exhibits weak ferromagnetic coupling... The results show that the magneto-optical dual-functional materials based on lanthanide coordination polymers are promising.,10.1016/j.molstruc.2007.09.029,Magnetic materials
13439,400,400.0,400,[Sm(pic)3]<|>complex 2,OFOJEZ,Photoluminescence,Investigated,The luminescent properties of complex 2 show the characteristic transition of the Sm(III).,10.1016/j.molstruc.2007.09.029,Luminescent materials
13440,401,401.0,401,[Zn2(bptc)(H2O)]·C2H5OH·H2O<|>compound 1,WISTID,Photoluminescence,Investigated,"Furthermore, the photoluminescence properties of the two compounds indicate that they may be good candidates for luminescent materials.",10.1016/j.jssc.2013.06.008,Luminescent materials
13441,402,402.0,402,La2(ox)3(H2ox)(H2O)28<|>compound 1,KIDVIE,Photoluminescence,Recommended,This compound has channels with hosted water molecules inside and shows an intense photoluminescence emission at room temperature in the solid state.,10.1016/j.poly.2012.09.018,Luminescence
13442,403,403.0,403,Lithium fumarate<|>LF,VOZVUD,Optical Devices,Recommended,"""The UV–vis–NIR transmittance spectrum was recorded in the range 200–1100nm, to find the suitability of the single crystal for various optical applications."" ""The cut off wavelength of LF from the transmittance spectrum is 290nm and suggests the suitability of LF crystal for various optical applications.""",10.1016/j.matlet.2014.03.011,Optical applications
13446,407,407.0,407,[Tb(HL)2(NO3)]n<|>complex 2,DEGLEJ,Sensors,Recommended,"The fluorescence properties of complexes were studied, which revealed that the emission could be quenched efficiently by nitrobenzene and Cu2+ at room temperature. Thus, complexes 1 and 2 exhibited potential applications on the detection of NB or Cu2+.",10.1016/j.ica.2017.09.012,Detection of nitrobenzene and Cu2+
13447,408,408.0,408,[CuLi(PPA)],KALXED,Magnetic Material,Investigated,The magnetic susceptibility data over the temperature range of 2–300K reveals the occurrence of weak antiferromagnetic interactions.,10.1016/j.jssc.2017.01.020,Magnetism
13448,409,409.0,409,[Co2(L)(py)2(DMSO)]n•0.5nDMF•2nDMSO<|>complex 1<|>1a,WODREO,Carbon Capture,Recommended,"""The desolvated complex (1a) displays higher adsorption capability for CO2 than N2, which may be due to the relatively strong binding affinity between the CO2 molecules and acylamide groups in the framework."" Additionally, ""The adsorption capacity of CO2 for 1a is obviously higher than that for the similar Co(II)-tetracarboxylate complex... This should be attributed to the large dipole moment of the acylamide (–CONH–) groups, which facilitates the dipole–quadrupole interactions between the acylamide groups in 1a and CO2 molecules... and results in a high CO2 uptake.""",10.1016/j.jssc.2014.01.018,CO2 capture
13454,415,415.0,415,"(4,4′-bipy)[Zn(HPO3)]2<|>FJ-7",EMAVAP01,Light Emitting Diodes,Recommended,"FJ-7 may find widespread applications in blue-light emitting devices, since it is thermally stable and insoluble in common polar and non-polar solvents.",10.1016/j.micromeso.2003.11.015,Blue-light emitting devices
13457,418,418.0,418,"[Ln(3,4-DMOBA)3(H2O)2]·H2O·C2H5OH<|>Complex 3",CUKKIE,Optical Devices,Investigated,"As functional materials, lanthanide carboxylic acids complexes are widely used in optical [8–10], thermodynamics [11–12] and magnetic fields, [13–14] etc. Special configuration of 4f electrons of lanthanide metals endows lanthanide complexes with particular light emission.",10.1016/j.tca.2015.07.003,Optical applications
13459,420,420.0,420,Dy(TDC)3(EtOH)3(H2O)·H2O<|>compound 3,CIGDUT,Sensors,Not Recommended,"The fluorescence spectra of compounds 2 and 3 show characteristic bands related to their respective metal ions, but Dy-based 3 is very weak compared to Tb-based 2, indicating coordinating solvent molecules may be quenching Dy fluorescence.",10.1016/j.solidstatesciences.2012.09.005,Luminescence/Sensing
13460,421,421.0,421,Tb(TDC)3(EtOH)3(H2O)·H2O<|>compound 2,CIGFAB,Sensors,Recommended,"""Luminescence is yet another possible application from MOFs and the photoluminescence properties can be tuned since they are dependent on the combination and interaction of the metal and linker."" ""The fluorescence spectra of compounds 2 and 3 show characteristic bands related to their respective metal ions, but Dy-based 3 is very weak compared to Tb-based 2, indicating coordinating solvent molecules may be quenching Dy fluorescence."" ""Tb shows strong emission compared to Dy framework.""",10.1016/j.solidstatesciences.2012.09.005,Luminescence/sensing
13461,422,422.0,422,{[Zn2(fum)2(4-bpdb)]·2H2O}n<|>TMU-42,FISNUT,Carbon Capture,Recommended,"""TMU-42 as one of the highest CO2 storage capacity and surface area in between pillared metal–organic frameworks."" ""TMU-42 showed negligible N2 adsorption that due to selectivity for stepwise, reversible, and hysteretic adsorption of CO2.""",10.1016/j.poly.2019.01.001,Carbon dioxide storage
13488,449,449.0,449,{Co3O(BTB)2(DMF)·2(N(CH3)2)·(H2O)}n<|>MOF 3,CIFMAH,Carbon Capture,Investigated,The CO2 adsorption properties of these MOFs were investigated and the results indicate that the activated MOF 1 presents the highest CO2 uptake capability of 85.8cm3 g−1 at 1atm and 273K.,10.1016/j.micromeso.2013.03.052,CO2 capture
13508,469,469.0,469,"Co3(1,3-bib)(4,4′-bpdc)3<|>DUT-58",LAYGAV,Hydrogen Storage,Investigated,DUT-58 adsorbs 27 mg/g H2 (30 bar and 77 K)... High pressure adsorption experiments show excess uptake of 27mg/g (30bar) for hydrogen.,10.1016/j.poly.2012.06.065,Hydrogen storage
13509,470,470.0,470,"Co3(1,3-bib)(4,4′-bpdc)3<|>DUT-58",LAYGAV,Methane Storage,Investigated,DUT-58 adsorbs... 72 mg/g CH4 (at 60 bar 298 K)... High pressure adsorption experiments show excess uptake of 72mg/g for methane.,10.1016/j.poly.2012.06.065,Methane storage
13516,477,477.0,477,{[Zn(L)2(NO3)2]}n<|>coordination polymer 1,QEJZIR01,Sensors,Recommended,Photo-luminescence studies have revealed that 1 can efficiently distinguish Fe3+ from Fe2+ and other metal ions through fluorescent quenching effect.,10.1016/j.ultsonch.2018.02.048,Detection of Fe3+ ions
13535,496,496.0,496,{[Zn(L)]·2.6H2O}n<|>1,FUBNOH,Carbon Capture,Investigated,"To evaluate the porosity of 1, adsorption isotherms of N2 at 77 K, CO2 at 195 K, H2O, CH3OH and CH3CH2OH at 298 K were measured (Fig. 7 ). The desolvated 1 shows a nonclassic type-I N2 sorption isotherm at 77 K (Fig. 7a) and the maximum value of N2 adsorption is 31.72 cm3 g−1 at 77 K and 0.97 atm. The obvious hysteretic desorption proves the microporous sorption character.",10.1016/j.micromeso.2015.02.005,CO2 adsorption
13540,501,501.0,501,"[Co(L)(1,3-BDC)]·2H2O<|>3",BUDWUV,Sensors,Investigated,"The fluorescent behaviours of 2−3 was also investigated. Fig. S6 shows that they have similar fluorescence quenching effect, indicating that the structures and compositions of the LCPs hardly affect the sensing of Fe3+ ions, which proves that the fluorescence quenching effect could be due to the donor-acceptor electron transfer effect of Fe3+ ions with L containing functional spacers.",10.1016/j.dyepig.2019.108064,Detection of Fe3+ ions
13550,511,511.0,511,"[Eu2(MPIP)2(1,3-bdc)2(CH3COO)2]n<|>compound 4",BOJHAM,Sensors,Recommended,"Based on fluorescence sensing behavior, compounds 4 and 5 display a highly sensitive response toward Fe3+ ion through significant fluorescence quenching.",10.1016/j.jssc.2019.04.021,Detection of Fe3+ ion
13556,517,517.0,517,[Cd(taa)Cl]n<|>compound 1,XOZZOC,Photoluminescence,Investigated,All these compounds display luminescent properties and may be potential candidates for luminescent materials.,10.1016/j.jssc.2009.02.026,Luminescent materials
13583,544,544.0,544,[Zn(trz)(Hsuc)]n<|>compound 1,AQOHAQ,Photoluminescence,Investigated,The solid of 1 and 2 is luminescent at room temperature.,10.1016/j.ica.2011.03.053,Luminescence
13586,547,547.0,547,[Zn(sq)(vim)2(H2O)2]n<|>2,DAYQOM,Hydrogen Storage,Investigated,"Polymeric squaric acid complexes containing 1-vinylimidazole were synthesized with Co(II), Zn(II) and Cd(II) ions, fully characterized, and investigated for their surface areas and hydrogen storage capacities.",10.1016/j.poly.2017.05.014,Hydrogen storage
13589,550,550.0,550,[Zn2(OH)(BTC)(bix)]·H2O<|>complex 1,QUGFII,Light Emitting Diodes,Recommended,"In summary, we have successfully fabricated two novel coordination polymers under hydrothermal condition. Complex 1 is a novel example of the 2D (3,4)-connected nets with (42·6)(42·63·8) topology... In addition, the emission in the blue region indicates that complexes 1 and 2 appear to be good candidate for a promising blue-light-emitting material.",10.1016/j.ica.2009.09.014,Blue-light-emitting material
13596,557,557.0,557,LPSN<|>l-proline sodium nitrate,BUGDOY,Optical Devices,Not Recommended,"""Surprisingly, the compound displayed modest NLO properties which were strongly affected by its crystal packing features."" ""Although, the material displayed relatively good thermal stability, its SHG efficiency was quite modest compared to that found for GSN."" ""Surprisingly, it was observed poor SHG efficiency for LPSN compared to GSN. The SHG efficiency of GSN is around 12 times than that of LPSN.""",10.1016/j.poly.2015.02.034,Non-linear optical (NLO) materials
13622,583,583.0,583,[Dy(cpia)(H2O)2]n·nH2O<|>compound 7,ELILAN,Photoluminescence,Recommended,"The luminescent investigations reveal that compounds 5 and 7 exhibit characteristic red and blue luminescence of Eu3+ and Dy3+, respectively, which indicate that these two compounds may be promising as fluorescent materials.",10.1016/j.jssc.2010.11.012,Fluorescent materials
13623,584,584.0,584,[Eu(cpia)(H2O)2]n·nH2O<|>compound 5,ELIKOA,Photoluminescence,Recommended,"The luminescent investigations reveal that compounds 5 and 7 exhibit characteristic red and blue luminescence of Eu3+ and Dy3+, respectively, which indicate that these two compounds may be promising as fluorescent materials.",10.1016/j.jssc.2010.11.012,Fluorescent materials
13629,590,590.0,590,"{[Tb2(2,5-tdc)3(dmso)2]·H2O}n<|>compound (1)",RATRUB,Photoluminescence,Recommended,Luminescence studies show that these MOFs could be useful as fluorescent materials.,10.1016/j.poly.2012.02.032,Fluorescent materials
13630,591,591.0,591,"{[Dy2(2,5-tdc)3(dmso)2]·H2O}n<|>compound (2)",RATSAI,Photoluminescence,Recommended,"The studies of luminescence properties show that Tb(III) and Dy(III) compounds display typical luminescence in the visible region, suggesting that these compounds could prove useful as potential fluorescent materials.",10.1016/j.poly.2012.02.032,Fluorescent materials
13635,596,596.0,596,[Zn(btze)]n<|>Compound 1,ONATUT,Photoluminescence,Investigated,"""All of the complexes show photoluminescence at room temperature."" ""The luminescence properties of 1–3 were investigated at room temperature in solid state.""",10.1016/j.ica.2011.01.057,Luminescence
13636,597,597.0,597,[Zn(btze)(H2O)]n<|>Compound 2,ONAVAB,Photoluminescence,Investigated,The luminescence properties of 1–3 were investigated at room temperature in solid state.,10.1016/j.ica.2011.01.057,Luminescence
13645,606,606.0,606,"catena[bis(isoselenocyanato-N)-diaqua-(μ2-4,4′-bipyridine-N,N′)-manganese(II) 4,4′-bipyridine solvate]<|>1-Mn",EBASUX01,Magnetic Material,Investigated,"Coordination polymers and metal–organic frameworks (MOF’s) have gradually attracted great attention in the fields of inorganic and material chemistry due to their intriguing topologies and various potential applications in e.g. catalysis [1–3], gas storage [4–7], and magnetism [8–11].",10.1016/j.ica.2011.08.003,Magnetism
13646,607,607.0,607,[Ag(H2L)]<|>compound 2,TUCCIF,Photoluminescence,Recommended,The luminescent analyses indicate that compounds 1 and 2 may be good candidates for blue–light luminescent materials.,10.1016/j.solidstatesciences.2015.01.010,Blue-light luminescent materials
13647,608,608.0,608,"[Zn(1,3-BDC)(3-bpcd)0.5(H2O)]·H2O<|>Complex 1",UMAZOZ,Sensors,Investigated,"Moreover, the fluorescent sensing properties of the complexes 1–2 and the electrochemical behavior of complex 3 modified carbon paste electrode have been investigated, which may make them potential candidates for fluorescent and electrochemical materials.",10.1016/j.molstruc.2016.04.085,Fluorescent sensing
13657,618,618.0,618,Cd[(VO)(O3PPh)2]·2H2O<|>compound 2,RISBUT,Optical Devices,Recommended,The compounds 1 and 2 showed phase matching second-harmonic-generation responses.,10.1016/j.jssc.2018.10.047,Nonlinear optics
13658,619,619.0,619,Ca[(VO)(O3PPh)2]·2H2O<|>compound 1,RISBON,Optical Devices,Recommended,"The compounds 1, 2 and 4 have noncentrosymmetric structures and show second-harmonic-generation responses.",10.1016/j.jssc.2018.10.047,Nonlinear optics
13681,642,642.0,642,[Ag(L1)]2(NO3)2<|>1,DEWLOJ,Electrical Conductivity,Not Recommended,"At room temperature, the electrical conductivity of complex 2 was 20 S·cm−1 and showed a semi-conductive behavior, whereas complex 1 is an insulator.",10.1016/j.ica.2018.02.010,Electrical conductivity
13690,651,651.0,651,Sr(terpy)[Pt(CN)4],TUZHUT,Optical Devices,Investigated,"We have focused on the relatively neglected property of birefringence (the difference in the refractive indices of two directions in a material [15,16]), which is harnessed in many applications, including optical filters [17,18], phase matching [19,20] and optical wave-plates used to form circularly polarised light [15,21].",10.1016/j.poly.2015.12.026,Optical materials
13698,659,659.0,659,[Cu3(IDA)6Gd2]·3(H2O)<|>complex 1,OFESAU,Magnetic Material,Recommended,Low temperature magnetic study indicates ferromagnetic behavior in the case of complex 1.,10.1016/j.poly.2006.12.042,Magnetic materials
13704,665,665.0,665,{Ag2(mpyz)(L)}_n<|>3,OMOMEK,Optical Devices,Investigated,The photoluminescent properties of 1–4 imply that some complexes may be good candidates for potential applications in optical materials.,10.1016/j.inoche.2016.03.010,Optical materials
13707,668,668.0,668,[Ag(H2L)]n<|>complex 2,NUKGAC,Sensors,Recommended,TGA data showed that complexes 1–3 have high thermal stability and the electrochemical studies of 1 and 2 indicated that the Cu-GCE and Ag-GCE show good electrocatalytic activities toward the reduction of H2O2 and may be applied as electrochemical sensors.,10.1016/j.ica.2009.05.048,Electrochemical sensors
13711,672,672.0,672,[Zn(2-NCP)(3-pyc)]n<|>complex 1,SAYWOH,Pollutant Removal,Recommended,"The complexes 1 and 2 appear to be active for the photocatalytic decomposition of common organic dyes (MV, MO, MB and RhB) used in textile industries. Moreover, photocatalytic experiment results manifest that the copper complex is more photocatalytically active for degrading four dyes under xenon lamp irradiation, which is an excellent candidate for in photocatalytic degradation of organic pollutants.",10.1016/j.ica.2017.06.018,Photocatalytic degradation of organic dye pollutants
13712,673,673.0,673,[Cu(2-NCP)(3-pyc)]n<|>complex 2,SAYWUN,Pollutant Removal,Recommended,"Moreover, photocatalytic experiment results manifest that the copper complex is more photocatalytically active for degrading four dyes under xenon lamp irradiation, which is an excellent candidate for in photocatalytic degradation of organic pollutants.",10.1016/j.ica.2017.06.018,Photocatalytic degradation of organic pollutants
13719,680,680.0,680,"Cu(2,3-dmpz)Br2<|>compound 1",XANKED,Magnetic Material,Investigated,The title compound has been prepared and its crystal structure and magnetic properties determined. The compound crystallizes as a coordination polymer and forms a ladder structure. Magnetic susceptibility data support the magnetic ladder structure for the material.,10.1016/j.molcata.2004.09.068,Magnetic materials
13722,683,683.0,683,"[Cd3(4,4′-tmbpt)(btc)2(H2O)6]·7H2O<|>compound 4",CAJLEH,Photoluminescence,Investigated,The luminescent properties of the compounds indicate that they may be good candidates for luminescent materials.,10.1016/j.poly.2014.08.020,Luminescent materials
13723,684,684.0,684,"[Ag2(4,4′-tmbpt)(Hbtc)]·H2O<|>compound 3",CAJLAD,Photoluminescence,Recommended,The luminescent properties of the compounds indicate that they may be good candidates for luminescent materials.,10.1016/j.poly.2014.08.020,Luminescent materials
13726,687,687.0,687,[Sm(hip)(adip)0.5(H2O)2]n·nH2O<|>CP 3,PATBUK,Photoluminescence,Investigated,The studies of luminescence properties show that CPs 3 Sm(III) and 5 Eu(III) exhibit typical intense luminescence in the visible region.,10.1016/j.poly.2017.06.014,Luminescent materials
13727,688,688.0,688,[Gd(hip)(adip)0.5(H2O)2]n·nH2O<|>CP 4,PATCEV,Magnetic Material,Investigated,"""Lanthanide coordination polymers have attracted much interest due to their ability to incorporate both luminescent and magnetic properties, making them promising functional materials."" Additionally, ""The CP 4 exhibit weak ferromagnetic interactions at low temperatures.""",10.1016/j.poly.2017.06.014,Magnetic materials
13739,700,700.0,700,STA-12(Co),XESLAK,Carbon Capture,Investigated,"The uptake of STA-12(Co) is lower than expected and also shows non-Type I behaviour, suggesting some pore-blocking and the presence of high external surface area (or some structural flexibility).",10.1016/j.micromeso.2011.12.003,CO2 adsorption
13748,709,709.0,709,{(EMIM)2[Sm2(BDC)3(H2-BDC)Cl2]}n<|>compound 1,YIXFIW,Photoluminescence,Recommended,"Detailed photoluminescent studies reveal all compounds exhibit typical lanthanide luminescence. Obviously due to the ionothermal reaction effectively preventing the coordination of solvent from La(III) ion, the luminescence quenching from the solvent molecules is avoided. This demonstrates the ionothermal synthesis is an efficient synthetic approach to novel lanthanide-based luminescent coordination materials.",10.1016/j.ica.2014.02.014,Luminescent materials
13755,716,716.0,716,[Zn2(L)(BTC)(NO3)]·H2O·2CH3CN<|>1,PUWVAG,Gas Adsorbent Material,Investigated,"The results demonstrate that the frameworks show unique adsorption properties towards H2O, MeOH and EtOH, implying the potential application in vapor separation.",10.1016/j.micromeso.2015.08.009,Vapor separation
13759,720,720.0,720,"{[Cd(Htcpb)(4,4′-bpy)·(DMF)·(Dioxane)0.5·(H2O)2]}n<|>Complex 2",MAYRIQ,Sensors,Recommended,"""Complex 2 and 3 are good luminescent probes for detecting Fe3+/Cr3+ ions."" ""The fluorescence intensities of the emulsions for complex 2 change with different metal ions, but those of the Fe3+/Cr3+ ions are almost 100% quenched."" ""These facts show that complexes 2 and 3 may be promising luminescent probes for detecting Fe3+/Cr3+ ions.""",10.1016/j.poly.2017.08.015,Detection of Fe3+/Cr3+ ions
13764,725,725.0,725,{[Co(4-pzpt)2] H2O}n<|>Compound 1,EJIBOQ,Carbon Capture,Recommended,"Compound 1 exhibits improved N2, CO2 and H2 uptake capacities, which demonstrated that the exposed uncoordinated nitrogens can effectively enhance the gas loading capability.",10.1016/j.jssc.2016.03.027,CO2 adsorption
13765,726,726.0,726,{[Co(4-pzpt)2] H2O}n<|>Compound 1,EJIBOQ,Gas Adsorbent Material,Recommended,"Compound 1 exhibits improved N2, CO2 and H2 uptake capacities, which demonstrated that the exposed uncoordinated nitrogens can effectively enhance the gas loading capability.",10.1016/j.jssc.2016.03.027,N2 adsorption
13766,727,727.0,727,{[Co(4-pzpt)2] H2O}n<|>Compound 1,EJIBOQ,Hydrogen Storage,Investigated,"We further investigated the H2 uptake of 1, and the adsorption amount of H2 is about 66cm3(STP)g−1. This H2 uptake capability is slightly lower than that of [Co(dpt24)2)] (75cm3(STP)g−1), but significantly higher than that of [Co(mdpt24)2)] (46cm3(STP)g−1).",10.1016/j.jssc.2016.03.027,H2 adsorption
13767,728,728.0,728,{[Zn(4-pzpt)2] H2O}n<|>Compound 2,EJIBUW,Light Emitting Diodes,Recommended,"Moreover, the strong fluorescent emission with obvious red shift of 2 shows that it may be good candidate for light-emitting materials.",10.1016/j.jssc.2016.03.027,Light-emitting materials
13786,747,747.0,747,[Zn(pz25dc)(DMF)2]<|>sample 1<|>compound 1,UZAGUY,Heterogeneous Catalysis,Investigated,"Unlike the porous 2-D and 3-D MOCPs (or MOFs) presenting an interest due to their exceptional adsorption characteristics, the nonporous 1D metal organic polymers are attractive as the components of heterogeneous catalytic systems due to a regular crystalline structure and well-defined potential active sites as compared to activated carbon which is characterized by an irregular structure.",10.1016/j.ica.2011.06.038,Heterogeneous catalytic systems
13787,748,748.0,748,C9H12CaO10<|>calcium trimesate synthesized by one-pot self-assembly reaction,OWZEW01,Hydrogen Storage,Investigated,"Experimental hydrogen storage capacity of calcium trimesate was found to be 0.066% in one-pot self-assembly reaction and 0.045% in ion exchange method by mass. While the complex structure synthesized by the ion exchange method differs from that of the complex synthesized by one-pot self-assembly reaction, the hydrogen storage capacities show similar behavior as the hydrogen storage spaces is closed by hydrogen bonds.",10.1016/j.molstruc.2017.11.128,Hydrogen storage
13789,750,750.0,750,[Co(bix)(DNBA)2]<|>Complex 2,XEKNOS,Photoluminescence,Investigated,"The fluorescent emission peaks of 1 and 2 can be probably assigned to the intraligand π∗−π charge transitions of bix (λ em =432nm, λ ex =340nm) due to their similar emission peaks.",10.1016/j.ica.2012.09.033,Fluorescent materials
13790,751,751.0,751,[Mn(μ4-pzdc)]n,OHIZIO01,Magnetic Material,Investigated,The magnetic measurements show the occurrence of weak antiferromagnetic couplings.,10.1016/S1387-7003(03)00237-5,Magnetism
13791,752,752.0,752,[Ag2Cu(pydco)2]n<|>compound 7,XORCOX,Magnetic Material,Investigated,"Furthermore, compound 7 may act a potential candidate of magnetic material.",10.1016/j.ica.2008.06.024,Magnetic material
13793,754,754.0,754,[Cu(H-2py-trz-ia)]∞3<|>2 Cu,TUMQID,Carbon Capture,Not Recommended,According to nitrogen (Fig. 7 ) and carbon dioxide (Fig. 8 ) sorption isotherms the pure copper material 2 Cu loses its porosity during activation at room temperature in vacuum (<0.2 Pa). The adsorbed amount of nitrogen is less than 10 cm3 (STP) g−1 and less than 0.5 mmol g−1 for CO2.,10.1016/j.micromeso.2015.04.036,Carbon dioxide adsorption
13794,755,755.0,755,[Cu(Me-prz-trz-ia)]∞3<|>2 Cu,TUMRAW,Carbon Capture,Not Recommended,According to nitrogen (Fig. 7 ) and carbon dioxide (Fig. 8 ) sorption isotherms the pure copper material 2 Cu loses its porosity during activation at room temperature in vacuum (<0.2 Pa). The adsorbed amount of nitrogen is less than 10 cm3 (STP) g−1 and less than 0.5 mmol g−1 for CO2.,10.1016/j.micromeso.2015.04.036,Carbon dioxide adsorption
13796,757,757.0,757,[Cu(Me-2pym-trz-ia)]∞3<|>2 Cu,TUMRUQ,Carbon Capture,Not Recommended,According to nitrogen (Fig. 7 ) and carbon dioxide (Fig. 8 ) sorption isotherms the pure copper material 2 Cu loses its porosity during activation at room temperature in vacuum (<0.2 Pa). The adsorbed amount of nitrogen is less than 10 cm3 (STP) g−1 and less than 0.5 mmol g−1 for CO2.,10.1016/j.micromeso.2015.04.036,Carbon dioxide adsorption
13800,761,761.0,761,[Co(Me-2pym-trz-ia)]∞3<|>2 Co,TUMROK,Carbon Capture,Recommended,"In contrast, the pure cobalt framework shows a nitrogen adsorption capacity of 123 cm3 (STP) g−1 and a carbon dioxide adsorption capacity of 2.82 mmol g−1 if activated at room temperature.",10.1016/j.micromeso.2015.04.036,Carbon dioxide adsorption
13801,762,762.0,762,[Co(Me-prz-trz-ia)]∞3<|>2 Co,TUMQUP,Carbon Capture,Recommended,The pure cobalt framework shows a nitrogen adsorption capacity of 123 cm3 (STP) g−1 and a carbon dioxide adsorption capacity of 2.82 mmol g−1 if activated at room temperature.,10.1016/j.micromeso.2015.04.036,Carbon dioxide adsorption
13808,769,769.0,769,[Cd(L5)2]n<|>Compound 3,MIKJUM,Optical Devices,Investigated,"The rational design and syntheses of coordination polymers and discrete complexes have been of increasing interest recently in materials science and chemical research due to their potential applications in magnetism, catalysis, electric conductivity, NLO (non-linear optics) and fluorescence, as well as ion exchange and gas storage.",10.1016/j.poly.2007.06.026,Non-linear optics (NLO)
13878,839,839.0,839,MOF Cu-TUH<|>Cu3(1)(H2O)3,HULCOI,Gas Adsorbent Material,Investigated,"Furthermore, the preliminary gas uptake investigations of the activated MOF were conducted to evaluate its application in the area of gas storage and purifications.",10.1016/j.poly.2015.06.001,Gas storage and purifications
13897,858,858.0,858,[Pb2(Hsfpip)2(H2O)2]n<|>compound 3,VOQDAI,Photoluminescence,Recommended,"The results show that those compounds display excellent fluorescence properties and possess high thermostability, which indicates they may be excellent candidates for potential luminescent materials.",10.1016/j.poly.2014.07.004,Luminescent materials
13903,864,864.0,864,[Zn2(5-ATZ)3(N3)]n<|>Complex 1,FIBHOQ,Photoluminescence,Recommended,"The photoluminescence of Complexes 1 and 2 in the solid state were investigated at room temperature. They exhibit intensive radiation emission maxima at ca. 506 nm and 477 nm for complexes 1 and 2(Fig. 2S), respectively... The emission in the blue region of complexes 1 and 2 suggest that both of them may be suitable as excellent candidates of blue fluorescence materials.",10.1016/j.molstruc.2018.04.004,Luminescence
13909,870,870.0,870,"{Mn(μ1,5-dca)2(PZA)22}n<|>complex 1",COYHOP,Cancer Therapy,Investigated,"Evaluation of the antitumor activity indicated that compound 1 was less active than cisplatin towards lung tumor cells (LP07), but as cytotoxic as cisplatin for breast tumor cells (LM3).",10.1016/j.saa.2014.12.072,Antitumor activity
13933,894,894.0,894,Mg(H2O)(C4H4O5)·H2O<|>Compound II,LICSUM,Hydrogen Storage,Not Recommended,"Although none contain the porosity necessary for gas storage applications, they show that the synthesis of magnesium analogs of some transition metal frameworks is an attractive route for the discovery of new sorbent materials.",10.1016/j.solidstatesciences.2006.12.003,Hydrogen storage
13948,909,909.0,909,3 ∞{[Cd3(μ6-btc)2(μ4-btre)]·H2O}<|>Compound 3,XUCGUY,Photoluminescence,Recommended,"The cadmium-btre framework 3, with bridged Cd strands, shows a strong bluish fluorescence at 421nm upon excitation at 317nm (not seen in the free btre ligand).",10.1016/j.ica.2008.11.003,Luminescence
